,number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
62,62,0.8381804088194763,2024-08-01 08:39:05.881408,2024-08-01 08:39:06.068854,0 days 00:00:00.187446,4.3877376931911555e-07,0.550039281443134,0.006691078005634959,2.1160663249555467e-05,0.09623171769822328,12,6,0.998813761675124,COMPLETE
63,63,0.844173461185117,2024-08-01 08:39:06.069933,2024-08-01 08:39:06.252254,0 days 00:00:00.182321,1.4133852125156409e-06,0.4744541994682759,0.16010878069554502,6.101063813203653e-06,0.04349269169907829,11,6,0.9567419189754888,COMPLETE
64,64,0.8400500976113917,2024-08-01 08:39:06.252674,2024-08-01 08:39:06.437534,0 days 00:00:00.184860,1.9998098027060207e-06,0.5791980853956435,0.24235230967737312,0.0001966118876249005,0.04812093698431996,11,6,0.8959439389072407,COMPLETE
65,65,0.836447088883785,2024-08-01 08:39:06.437936,2024-08-01 08:39:06.617012,0 days 00:00:00.179076,4.659232566908468e-06,0.6331854410187424,1.6271796842118522,5.664191941239667e-06,0.03932348513798958,12,5,0.9270350396060729,COMPLETE
66,66,0.8432081132292145,2024-08-01 08:39:06.617420,2024-08-01 08:39:06.802590,0 days 00:00:00.185170,1.2941834598509638e-05,0.47365784530316074,0.02463004849326326,8.616429352434042e-05,0.07520114043472695,12,7,0.9756139993896418,COMPLETE
67,67,0.8353346061093246,2024-08-01 08:39:06.802976,2024-08-01 08:39:06.987043,0 days 00:00:00.184067,1.16745019770217e-05,0.4238907215534206,0.017750420569468614,7.751250761238858e-05,0.051118462205719174,12,7,0.9513320826778677,COMPLETE
68,68,0.8399603812586127,2024-08-01 08:39:06.987473,2024-08-01 08:39:07.166482,0 days 00:00:00.179009,3.41792548132738e-05,0.47362042832021106,0.024703687160882646,6.477517901718224e-07,0.07586133906812906,10,7,0.8767164660381811,COMPLETE
69,69,0.8343010737253103,2024-08-01 08:39:07.166893,2024-08-01 08:39:07.340794,0 days 00:00:00.173901,5.60231382942073e-07,0.4860369988186771,0.002879134664136415,4.086921563991648e-05,0.028847887749089404,11,5,0.4920987102603057,COMPLETE
70,70,0.8368920819935691,2024-08-01 08:39:07.341189,2024-08-01 08:39:07.525576,0 days 00:00:00.184387,1.2563126396766446e-06,0.6668310846370528,0.08922785288839725,1.1352560259142169e-05,0.00020917438691011242,9,6,0.9098431859573302,COMPLETE
71,71,0.8440909221405604,2024-08-01 08:39:07.525964,2024-08-01 08:39:07.708379,0 days 00:00:00.182415,8.853632777171445e-06,0.5289344637239436,0.2811218971326962,0.001409184633650478,0.07221291066714383,12,6,0.9732469109325803,COMPLETE
72,72,0.841937729673863,2024-08-01 08:39:07.709430,2024-08-01 08:39:07.894819,0 days 00:00:00.185389,1.4944786094705015e-06,0.5076701911996997,0.16760585882315665,0.0004964875403500064,0.060008743172931533,12,7,0.9837521819360343,COMPLETE
73,73,0.8438684255856683,2024-08-01 08:39:07.895233,2024-08-01 08:39:08.079636,0 days 00:00:00.184403,2.1611960762122316e-07,0.5222811233662116,0.004574644266283533,3.823070562518007e-06,0.09598138070471231,11,6,0.9358974617087994,COMPLETE
74,74,0.8412056442351861,2024-08-01 08:39:08.080041,2024-08-01 08:39:08.267370,0 days 00:00:00.187329,2.1403187861573303e-07,0.5590440475637524,0.0013763362676675007,3.6141564969711265e-06,0.0421092599781971,11,6,0.9377955959115901,COMPLETE
75,75,0.8473494200734957,2024-08-01 08:39:08.267766,2024-08-01 08:39:08.462256,0 days 00:00:00.194490,1.9210341953667036e-07,0.5229142369478685,0.00624412798289019,5.412726243652642e-07,0.09467707359065874,11,4,0.9580136840550789,COMPLETE
76,76,0.8424186093247589,2024-08-01 08:39:08.462671,2024-08-01 08:39:08.654226,0 days 00:00:00.191555,0.0024844353061904286,0.5219759568419576,0.005508463964059167,1.092695231131298e-06,0.09276145245526483,11,4,0.9548017684715089,COMPLETE
77,77,0.8376385220486908,2024-08-01 08:39:08.654655,2024-08-01 08:39:08.852501,0 days 00:00:00.197846,1.6417472257317695e-07,0.49482808559945357,0.0032895255088556496,1.7882162594299834e-07,0.05452203598380948,10,3,0.922648466729457,COMPLETE
78,78,0.8412594740468535,2024-08-01 08:39:08.852894,2024-08-01 08:39:09.047103,0 days 00:00:00.194209,0.06833542937577497,0.61514657216662,0.04523868673096602,1.6047380437167635e-07,0.09567612860819279,11,5,0.9389280833019384,COMPLETE
79,79,0.8426841697289849,2024-08-01 08:39:09.047516,2024-08-01 08:39:09.225995,0 days 00:00:00.178479,2.452233339519639e-07,0.5239839313992847,1.1446381461499935,3.076448439951151e-08,0.06348352818960909,11,5,0.8938812672055109,COMPLETE
80,80,0.8376528766651355,2024-08-01 08:39:09.226439,2024-08-01 08:39:09.383807,0 days 00:00:00.157368,1.0231150094256628e-07,0.5556751756815388,7.763619815922146,1.3426750885274024e-06,0.09911401389530049,10,4,0.7542554084705759,COMPLETE
81,81,0.8430573897565455,2024-08-01 08:39:09.385148,2024-08-01 08:39:09.577715,0 days 00:00:00.192567,4.7111054380895866e-07,0.570319596018442,0.004860962386650554,2.5551681814765162e-05,0.0771130782433703,12,5,0.9636652434713272,COMPLETE
82,82,0.8417008785025264,2024-08-01 08:39:09.578135,2024-08-01 08:39:09.769585,0 days 00:00:00.191450,8.565338294519e-07,0.5924915004135645,0.0011615835836374403,4.438157025339005e-07,0.053838001952514314,11,6,0.9846122751051174,COMPLETE
83,83,0.8434844395957741,2024-08-01 08:39:09.769996,2024-08-01 08:39:09.984529,0 days 00:00:00.214533,1.6044348494742596e-06,0.5451254712452461,0.0005095271231014217,0.0036631541085097737,0.06619533752867246,12,2,0.9993235765712478,COMPLETE
84,84,0.8440729788700045,2024-08-01 08:39:09.984926,2024-08-01 08:39:10.177519,0 days 00:00:00.192593,3.4315220721044177e-06,0.5434300827173291,0.000419834340279322,0.002354720167646896,0.042674730548950435,11,6,0.9973091866700812,COMPLETE
85,85,0.8414532613688563,2024-08-01 08:39:10.177922,2024-08-01 08:39:10.364633,0 days 00:00:00.186711,8.808172555780638e-06,0.5053001073591123,0.0007475209803486962,0.001586966157918915,0.02389607787122238,11,6,0.9579835949150295,COMPLETE
86,86,0.8391098702342673,2024-08-01 08:39:10.365039,2024-08-01 08:39:10.551462,0 days 00:00:00.186423,3.5126358177065646e-05,0.5264999330020896,0.00028311760250223565,0.012490638497751628,0.03270794587540062,10,6,0.9191450852121339,COMPLETE
87,87,0.8423611908589801,2024-08-01 08:39:10.551869,2024-08-01 08:39:10.734081,0 days 00:00:00.182212,3.7714050685050372e-06,0.4698831720447978,0.002181492096985091,0.0006569118932885205,0.04073796786738579,7,3,0.9439172374359116,COMPLETE
88,88,0.8402618282039505,2024-08-01 08:39:10.734520,2024-08-01 08:39:10.919082,0 days 00:00:00.184562,4.06703463579092e-08,0.4917130675746165,0.0045126055012419345,6.202075406913106e-06,0.0025531755919087017,11,5,0.5322657597955902,COMPLETE
89,89,0.8430717443729904,2024-08-01 08:39:10.919552,2024-08-01 08:39:11.101713,0 days 00:00:00.182161,3.6139014754893002e-06,0.5454614432024916,3.7898958549857905e-05,0.000272121144106633,0.051667340699913425,11,7,0.6947494106239651,COMPLETE
90,90,0.8378933164905833,2024-08-01 08:39:11.102773,2024-08-01 08:39:11.289753,0 days 00:00:00.186980,1.6825217950459153e-07,0.42366759585199937,0.00014338026272667117,3.1597788565244894e-07,0.0003946728209485278,11,6,0.9862073982187637,COMPLETE
91,91,0.8411805236564079,2024-08-01 08:39:11.290161,2024-08-01 08:39:11.504334,0 days 00:00:00.214173,1.4040124129431434e-06,0.5086380055033447,0.0004531498541485907,0.003904879506554895,0.06812176726515401,12,2,0.9967269262338933,COMPLETE
92,92,0.8379722668810289,2024-08-01 08:39:11.504727,2024-08-01 08:39:11.746239,0 days 00:00:00.241512,1.317644736245159e-06,0.5398048553484093,0.0008103940119401318,0.004023450575713718,0.06117438332968703,12,1,0.9598452798777845,COMPLETE
93,93,0.8419126090950849,2024-08-01 08:39:11.746727,2024-08-01 08:39:11.970073,0 days 00:00:00.223346,1.9776199444536275e-06,0.5548638820646355,0.002240659954427274,0.0010467219404777755,0.047139376561684335,12,2,0.9809560795360105,COMPLETE
94,94,0.8407211759301791,2024-08-01 08:39:11.970509,2024-08-01 08:39:12.169740,0 days 00:00:00.199231,3.264304836469637e-07,0.5146277724070909,0.00034925263548742677,0.008500971245987771,0.07009837151958881,11,6,0.9994068921236912,COMPLETE
95,95,0.8476652216352779,2024-08-01 08:39:12.170286,2024-08-01 08:39:12.368136,0 days 00:00:00.197850,7.761957370800163e-07,0.5283264814271578,1.3768274587052993e-05,0.0023203543086699977,0.08574654612403182,12,4,0.9309755511791729,COMPLETE
96,96,0.842598042030317,2024-08-01 08:39:12.368582,2024-08-01 08:39:12.574051,0 days 00:00:00.205469,7.883494732923346e-07,0.4837489529421496,1.1235826804875253e-05,0.0017365558485306308,0.08328930803525475,10,4,0.9314877373162693,COMPLETE
97,97,0.8398742535599448,2024-08-01 08:39:12.574487,2024-08-01 08:39:12.763670,0 days 00:00:00.189183,7.293516666556239e-08,0.5323575158400806,2.230898171502302e-06,3.148174909465567e-06,0.09956917571291438,8,4,0.87438327439181,COMPLETE
98,98,0.8381660542030316,2024-08-01 08:39:12.764146,2024-08-01 08:39:12.973297,0 days 00:00:00.209151,3.202795574860425e-07,0.5672089928326175,0.00864528462738706,8.207046315064262e-08,0.013966680272946261,12,5,0.9455616578788909,COMPLETE
99,99,0.8337950734956361,2024-08-01 08:39:12.974528,2024-08-01 08:39:13.180385,0 days 00:00:00.205857,5.800006548255283e-07,0.9951899758276903,1.1261456016904274e-05,0.0004702417489744821,0.08553095111514646,11,5,0.909118890392021,COMPLETE
