,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_scale_pos_weight,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc,state
79,79,0.0,2024-08-03 15:01:47.711686,2024-08-03 15:01:58.895303,0 days 00:00:11.183617,0.3428089365360376,122,8,3.0320093264668e-08,0.0008953003332585778,0.0036474341647794494,0.7345971563981043,0.0,0.0,0.0,0.8305803571428572,COMPLETE
80,80,0.8004798464491363,2024-08-03 15:01:58.895705,2024-08-03 15:02:06.463736,0 days 00:00:07.568031,0.47377367030687945,149,7,2.9282616195117244e-08,0.0003044071915640636,0.007954449875347309,0.2962085308056872,0.42994241842610365,0.27383863080684595,1.0,0.8300619239631336,COMPLETE
81,81,0.7968164794007491,2024-08-03 15:02:06.464104,2024-08-03 15:02:12.487021,0 days 00:00:06.022917,0.45488512132581826,147,7,3.8097806118262594e-08,0.00029934810374746543,0.008951517547729014,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8302563364055301,COMPLETE
82,82,0.0,2024-08-03 15:02:12.487345,2024-08-03 15:02:30.445700,0 days 00:00:17.958355,0.4840178812020279,132,8,1.3347486295082458e-07,0.0004598744320478379,0.0032322017478725535,0.7345971563981043,0.0,0.0,0.0,0.8284634216589862,COMPLETE
83,83,0.0,2024-08-03 15:02:30.446054,2024-08-03 15:02:38.232093,0 days 00:00:07.786039,0.4007207676073258,159,7,2.0380018473638302e-08,0.0006463215304142948,0.006776509067979844,0.7345971563981043,0.0,0.0,0.0,0.829658698156682,COMPLETE
84,84,0.7968164794007491,2024-08-03 15:02:38.232453,2024-08-03 15:02:46.156734,0 days 00:00:07.924281,0.554188882067303,150,7,1.3809258258060576e-07,0.00025259084736119057,0.005043328464236963,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8293922811059908,COMPLETE
85,85,0.7968164794007491,2024-08-03 15:02:46.157081,2024-08-03 15:02:48.830116,0 days 00:00:02.673035,0.3637742663911263,141,6,8.744524242777302e-08,0.0003872335803267521,0.0025807028881799144,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8350662442396314,COMPLETE
86,86,0.7968164794007491,2024-08-03 15:02:48.830488,2024-08-03 15:02:51.695637,0 days 00:00:02.865149,0.44369090345084544,124,6,7.867564824557323e-07,0.000530096962841418,0.008163895166376995,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8278945852534562,COMPLETE
87,87,0.7968164794007491,2024-08-03 15:02:51.695975,2024-08-03 15:02:58.911098,0 days 00:00:07.215123,0.42257134685802444,114,7,5.0398739228219415e-08,0.0003080728531533989,0.02118071111337671,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8259000576036866,COMPLETE
88,88,0.0,2024-08-03 15:02:58.911456,2024-08-03 15:03:29.042652,0 days 00:00:30.131196,0.4691205406392231,137,8,2.20484063859568e-08,0.001194622055820799,0.005532005712106598,0.7345971563981043,0.0,0.0,0.0,0.8286578341013826,COMPLETE
89,89,0.7968164794007491,2024-08-03 15:03:29.043008,2024-08-03 15:03:32.095006,0 days 00:00:03.051998,0.5078407554309365,162,6,3.268531547066268e-07,0.00017814629840186717,0.012273301646476581,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.827584965437788,COMPLETE
90,90,0.7968164794007491,2024-08-03 15:03:32.095363,2024-08-03 15:03:39.759911,0 days 00:00:07.664548,0.5490410041211988,153,7,1.9938018797778524e-06,0.00024525274493146976,0.0014862858016394937,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8309115783410139,COMPLETE
